0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
-0.106907986,0.64905435,0.44186234,-1.0139449,-0.022106364,0.19093353,0.6391369,0.85048723,0.06373736,-1.4164977,0.014787316,1.4255502,1.0276854,0.20049089,-0.040999375,0.59153473,0.009116009,-0.1937294,0.028862074,0.4282425,0.13739358,0.42705303
-0.704272,0.95230126,-0.36517006,-0.58909345,-0.21232256,0.13169248,0.6151792,0.68279374,0.32455903,-1.6407404,-0.048633456,1.2077192,0.8698196,-0.010334402,0.11025651,0.030610614,0.21116939,-0.021626353,0.22970076,0.25319415,0.11482911,0.34859943
-0.6389241,1.3315047,0.024360618,-0.26246196,0.08549161,0.54982007,0.39457792,1.0981847,-0.09564173,-1.1764684,0.21790689,0.69722164,0.78873557,0.43144608,0.19604304,0.656362,-0.3195806,-0.41694498,0.010799006,1.0340345,0.86621207,0.13478091
-0.026482657,0.8819128,0.1345995,-0.5359025,0.17892629,0.43627733,0.0815573,1.4743181,-0.06865336,-1.2519481,0.07599004,1.1539346,1.0386186,0.47063822,-0.04891608,0.43558556,-0.32813483,-0.54290324,-0.4122972,0.761923,0.7674284,0.6067014
-0.20283672,0.8004853,-0.08826934,-0.64191306,-0.4321175,0.33890343,0.13215496,0.9994383,0.11807583,-1.0999019,-0.052668884,1.2051303,1.0638049,0.2952264,-0.099024445,0.6698667,-0.17130755,0.09769848,-0.0011308044,0.3569122,0.41644454,0.39675426
-0.31532034,1.2061568,-0.26357704,0.05164782,-0.08291231,0.64286464,-0.17464823,1.4548303,-0.009580923,-1.2304041,-0.101762325,1.0872384,0.60764337,0.33309966,-0.8145942,0.7860482,0.545706,-0.47758752,0.04768522,0.52233404,0.83230346,0.2103615
-0.46110594,1.1798404,0.37138253,-0.8721554,-0.43860468,0.7008927,0.5575551,0.6847911,-0.22610568,-1.2137508,-0.37753606,1.1798146,1.3110042,0.4384573,-0.3010345,1.0571848,-0.4588045,-0.36975104,-0.09318207,0.39911348,0.64932543,0.20363407
-0.036162525,0.9278906,0.03143791,-0.6898743,-0.23273006,0.5648019,0.16482952,0.7237977,-0.19062914,-1.2286072,-0.11247344,1.5084957,0.77129817,0.44151515,0.26120597,1.0218866,-0.37645122,0.06115663,-0.026636168,0.2814936,0.3665008,0.1605475
-0.5563617,1.2269276,0.17937106,-0.68628085,-0.16224298,0.46569598,0.8211413,0.69938153,-0.50537527,-1.5468924,0.07055703,1.3756737,0.6806767,0.48660898,-0.24744202,0.86641216,0.5557785,-0.47146797,0.4362952,0.75869054,0.32033175,0.09570791
-0.0745921,1.3108053,0.25112367,-0.5446986,-0.48108467,0.7925213,0.14100185,0.9745478,-0.506863,-0.9034965,-0.1154027,1.1281558,0.9808324,0.41600245,-0.17510565,1.1094422,-0.4536056,-0.29097736,-0.05877565,0.36039644,0.81614,0.2620916
-0.25010672,0.46778214,0.19844753,-1.1295025,0.13559769,0.10586052,0.7025014,0.6300021,-0.6231867,-1.3404679,-0.1358537,1.2487649,0.7515399,-0.5915225,-0.2606998,0.26304448,0.029947303,-0.15888065,0.2648791,-0.07137398,0.08039196,0.7388343
-0.45833302,1.4416381,-0.024446607,-0.7445563,-0.15393966,0.38329527,0.55845726,1.0272982,0.045816317,-1.7366507,-0.34672195,1.1766438,1.0372963,-0.07085934,-0.9676613,0.94767475,0.56413424,-0.6104861,-0.32650417,0.5481773,0.69823015,-0.09735224
-0.25845712,0.8865561,0.55410886,-0.72907424,0.100995064,0.15790457,0.60214084,0.90091485,-0.09696342,-1.153461,0.41757864,0.91174155,0.73470944,-0.1767133,-0.07060671,0.24720605,-0.06760454,-0.12016332,0.27929085,0.18072127,0.28202075,0.37925816
-0.25461793,1.2753202,0.2083912,-0.22659412,-0.16938096,0.82011884,0.29494506,0.9835058,0.3663036,-1.5172539,0.124106914,1.0897775,1.1934271,0.231868,-0.50884604,0.82749605,0.048271954,-0.33877343,0.030422702,0.50686,0.6427423,0.11829984
-0.4322095,1.0134565,-0.1908775,-0.7024411,-0.14425415,0.1629511,0.20489752,0.9929332,0.031551387,-1.5969565,-0.27757716,1.4390147,1.0895352,0.35784417,0.069176786,0.45943075,-0.124435365,-0.36601394,-0.09580289,0.503862,0.53689295,0.44447434
-0.6423261,0.89688843,-0.15168817,-0.5702176,-0.21061927,0.9649629,1.1240302,0.58290017,-0.3653815,-1.4428172,0.17994556,1.647383,0.55106497,0.5237629,-0.13781789,0.812813,0.25260746,-0.19689375,0.51545507,0.54323286,0.31594607,0.3619455
-0.30349982,0.8328658,-0.18518703,-0.43292427,-0.25098336,0.6860179,0.5365883,0.92452276,0.09435064,-1.2431722,-0.03122922,1.2287991,0.985984,0.645778,-0.07445281,0.7539525,-0.17498347,-0.38186938,-0.25442147,0.5282498,0.7778189,0.1093543
-0.6524188,0.8696685,-0.12475027,-0.78258586,-0.19794187,0.67483705,0.86788225,0.63796645,0.12721783,-1.375134,0.2522862,1.409882,0.9751753,0.7206018,0.33554435,0.5593609,-0.21141575,-0.16566722,0.06691499,0.61583054,0.35507008,0.56792605
-0.4127851,0.60400504,-0.11522454,-1.045689,-0.2984761,0.13835135,0.28494388,0.41382644,-0.54849327,-1.271646,-0.20402811,1.2739649,1.0653272,0.14835185,0.24524759,0.8668257,-0.28833824,-0.23887044,-0.120649025,0.12181859,0.42893845,0.24007809
-0.27937353,1.1661212,0.023503797,-0.44799125,0.26303175,0.007871479,-0.14553677,1.4462006,-0.12625438,-1.3318479,0.16486037,0.94548225,0.44965452,-0.001203768,-0.19699283,0.34853548,0.3976255,-0.49994123,0.05231048,0.5225616,0.4515289,0.1334473
-0.57621646,1.296406,0.1905156,-0.51052785,0.04445576,0.29533702,0.6195243,1.1587499,-0.41671455,-1.1882885,-0.09617187,1.2894913,0.023164026,0.5024035,-0.11631937,0.94995534,0.35226795,-0.45160055,0.37839532,1.0266817,0.59299374,0.13390008
-0.34085238,1.1969737,0.08806709,-0.26658577,-0.18416163,0.75439894,0.5650106,0.7830114,0.3848103,-1.811173,-0.05934231,1.1634936,1.3169212,0.190519,-0.33160156,0.9244123,0.13952544,-0.16777349,-0.0996999,0.6995732,0.6463291,-0.13234273
-0.57179487,1.067226,-0.059733383,-0.5470818,0.24865016,0.37021935,0.20719054,1.2187492,-0.07035554,-1.0978663,0.2728831,0.61051226,0.59913826,0.20202796,-0.03207747,0.2763455,-0.26394093,-0.40591663,-0.01712142,0.41904658,0.8305913,0.35394865
-0.076621465,0.95533437,0.41487044,-0.53713894,-0.28482696,0.7524539,0.35899764,1.0472,-0.27977157,-0.78480834,0.17716524,1.1801586,0.42331386,0.2912256,-0.25488368,0.9981296,-0.24133646,-0.026188672,0.15753587,0.37058628,0.47622132,0.5694207
-0.14990981,0.9434121,0.1965499,-0.70984304,-0.17851672,0.5046701,0.3006776,1.1470958,-0.28957766,-1.3229351,-0.26225686,1.5140659,1.0037148,0.45649308,-0.10060325,0.8144218,0.031185202,-0.32845438,-0.17164414,0.57779765,0.47465533,0.4255799
-0.12015023,0.83997124,0.57206005,-0.86380076,-0.079861194,0.49927443,0.071894795,1.2612989,-0.12581515,-0.71418583,-0.50305516,1.4096884,0.7856122,0.73499423,-0.21668337,0.9119469,-0.49059016,-0.24287122,-0.24902193,0.47547185,0.5832942,0.7189288
-0.5092322,0.72527486,0.15451068,-0.94960296,0.14089696,-0.040295586,0.40639362,0.84495133,-0.327677,-1.4583623,0.035831966,1.0424725,0.76036435,-0.19797055,0.44221246,0.2652499,-0.20142573,-0.0840182,0.49074042,0.29319346,0.20234922,0.2408029
-0.7498311,0.91133314,0.38123113,-0.66547704,-0.1619749,0.43229157,0.67080706,0.73666006,-0.4521639,-0.8696457,-0.09817521,1.0744853,0.7637589,0.3416869,-0.019050226,0.48047626,-0.08600855,-0.4856673,0.27145886,0.29075557,0.35391176,0.51643926
-0.29557908,0.8438241,0.5669648,-0.5280844,-0.048397005,0.4945941,0.53223187,0.89969736,0.0842939,-1.0272098,0.18766358,1.3139424,1.0674062,0.9538274,-0.067185335,0.39327496,-0.08796016,-0.4137893,-0.07601981,0.56417835,0.28276005,0.6602049
-0.17146842,0.5923851,-0.2632817,-0.5595702,0.15157437,0.4298923,0.25353286,1.1957021,-0.23518682,-1.4136088,-0.02588375,1.4941616,0.5502966,0.18654557,-0.14682627,0.30789983,0.26947165,-0.18706203,0.28934532,0.10275911,0.3916211,0.259449
-0.42337167,0.9763543,0.16317983,-0.92299914,0.09495604,0.41017324,0.42927712,0.9116932,0.08708171,-1.0847144,-0.19502603,1.3523302,0.8509579,0.5288662,-0.11507024,0.74109447,-0.10691938,-0.30877483,-0.24227737,0.46317852,0.58654183,0.25924474
